排名,歌曲名,歌手,专辑,歌曲ID
67,Eldest Daughter,Taylor Swift,The Life of a Showgirl (Explicit),0024k8yB3eivfL
68,Ruin The Friendship,Taylor Swift,The Life of a Showgirl (Explicit),000rBvw92EFhKC
69,乘船,于适,适诗,003aS8gB4Dce4T
70,Actually Romantic,Taylor Swift,The Life of a Showgirl (Explicit),0012S7mF2cGCZN
71,我的大男孩,崔阿扎,我的大男孩,00179hDe2Mznya
72,病态的爱,哈利白特 & Zkaaai,病态的爱 (卡点版),004Oc0K51bQvgy
73,城南花开你不在,尚辰,城南花开你不在,004SClll37ZLfs
74,Honey,Taylor Swift,The Life of a Showgirl (Explicit),004GSpgY31uhs3
75,五百,宝石Gem,通俗说唱,00432Ghe1z3bYw
76,Sacrifice (争),英雄联盟 & G.E.M. 邓紫棋,Sacrifice (争),0003RcYp2ghLDq
77,离开我的依赖,戴羽彤,离开我的依赖,003HKvMJ32Ptsm
78,可乐 (花白头发谢谢爱的人),薛朋朋,可乐 (花白头发谢谢爱的人),0035Wljj1JIY0Y
79,坦荡,Kbz小猪,坦荡,000mrD1t49ewTe
80,提到了你 (with 刘宇宁),张艺兴 & 刘宇宁,提到了你 (with 刘宇宁),003ODMYP38KXwE
81,假如再重来,伊斯玛哈撒嗯.达嗨,许我耀眼 影视原声带,000E1It91rFYWO
82,没出息,知鷗周,没出息（新编版）,001SsSPg3bwFVr
83,MEEEEEE (NAYEON),TWICE & 娜琏,TEN: The Story Goes On,001dsnT74GOMGT
84,Pretty Please,Hearts2Hearts,Pretty Please,000Wouof2yL9FT
85,很爱很爱你,大头针,很爱很爱你,003kWVX10f3UY7
86,向山野,谭维维,向山野,000j2VgS1cJgsM
87,凭什么你回头我就要在身后,你家七哥ya,凭什么你回头我就要在身后,0049g38A0ISck7
88,毒酒,刘宇宁,入青云 影视原声带,0025j4YI080qAu
89,寂寞沙洲冷（那样浓烈的爱再也无法给）,七元,寂寞沙洲冷（那样浓烈的爱再也无法给）,000p0Idk3sUFNt
90,情罪,韩小欠,情罪,001cZ68m00t2jU
91,想你一次落一粒沙,玄鸟传说,想你一次落一粒沙,001xppC92chCVl
92,恰逢雨季,LBI利比（时柏尘）,恰逢雨季,002fhtG21U1Ahn
93,我妈是世界上最好的妈,生活的鸭力,我妈是世界上最好的妈,0036H0Fb1CfKvg
94,归信如帆,王一珩OneSD,万里长歌,003uZHXT1jl9Ww
95,曾经最美,洋澜一,曾经最美,003qhVvq3ohKHl
96,能不能答应我,崔十八,能不能答应我,001tsill1WNXMA
97,爱入青云,黄霄雲,入青云 影视原声带,002dShQZ1PUtBJ
98,越界,杨光,一路阳光一路爱,002v8oB82DOq0D
99,同进退,祥嘞嘞,同进退,0027VsSD0ABEt5
100,长大 (Shining Star),周宣绮 & 447,长大 (Shining Star),003khIc80d8LI5
